REGION,TECHNOLOGY,YEAR,VALUE
RE1,AGRDSL001,2019,0.74
RE1,AGRDSL001,2020,0.72
RE1,AGRDSL001,2021,0.7
RE1,AGRDSL001,2022,0.68
RE1,AGRDSL001,2023,0.66
RE1,AGRDSL001,2024,0.63
RE1,AGRDSL001,2025,0.59
RE1,AGRDSL001,2026,0.56
RE1,AGRDSL001,2027,0.52
RE1,AGRDSL001,2028,0.47
RE1,AGRDSL001,2029,0.42
RE1,AGRDSL001,2030,0.36
RE1,AGRDSL001,2031,0.3
RE1,AGRDSL001,2032,0.23
RE1,AGRDSL001,2033,0.16
RE1,AGRDSL001,2034,0.08
RE1,AGRDSL001,2035,0.0
RE1,AGRDSL001,2036,0.0
RE1,AGRDSL001,2037,0.0
RE1,AGRDSL001,2038,0.0
RE1,AGRDSL001,2039,0.0
RE1,AGRDSL001,2040,0.0
RE1,AGRDSL001,2041,0.0
RE1,AGRDSL001,2042,0.0
RE1,AGRDSL001,2043,0.0
RE1,AGRDSL001,2044,0.0
RE1,AGRDSL001,2045,0.0
RE1,AGRDSL001,2046,0.0
RE1,AGRDSL001,2047,0.0
RE1,AGRDSL001,2048,0.0
RE1,AGRDSL001,2049,0.0
RE1,AGRDSL001,2050,0.0
RE1,AGRDSL005,2019,0.0
RE1,AGRDSL005,2020,0.0
RE1,AGRDSL005,2021,0.0
RE1,AGRDSL005,2022,0.0
RE1,AGRDSL005,2023,0.0
RE1,AGRDSL005,2024,0.0
RE1,AGRDSL005,2025,0.0
RE1,AGRDSL005,2026,0.0
RE1,AGRDSL005,2027,0.0
RE1,AGRDSL005,2028,0.0
RE1,AGRDSL005,2029,0.0
RE1,AGRDSL005,2030,0.0
RE1,AGRDSL005,2031,0.0
RE1,AGRDSL005,2032,0.0
RE1,AGRDSL005,2033,0.0
RE1,AGRDSL005,2034,0.0
RE1,AGRDSL005,2035,0.0
RE1,AGRDSL005,2036,0.0
RE1,AGRDSL005,2037,0.0
RE1,AGRDSL005,2038,0.0
RE1,AGRDSL005,2039,0.0
RE1,AGRDSL005,2040,0.0
RE1,AGRDSL005,2041,0.0
RE1,AGRDSL005,2042,0.0
RE1,AGRDSL005,2043,0.0
RE1,AGRDSL005,2044,0.0
RE1,AGRDSL005,2045,0.0
RE1,AGRDSL005,2046,0.0
RE1,AGRDSL005,2047,0.0
RE1,AGRDSL005,2048,0.0
RE1,AGRDSL005,2049,0.0
RE1,AGRDSL005,2050,0.0
RE1,AGRGSL001,2019,0.37
RE1,AGRGSL001,2020,0.36
RE1,AGRGSL001,2021,0.35
RE1,AGRGSL001,2022,0.34
RE1,AGRGSL001,2023,0.33
RE1,AGRGSL001,2024,0.31
RE1,AGRGSL001,2025,0.3
RE1,AGRGSL001,2026,0.28
RE1,AGRGSL001,2027,0.26
RE1,AGRGSL001,2028,0.23
RE1,AGRGSL001,2029,0.21
RE1,AGRGSL001,2030,0.18
RE1,AGRGSL001,2031,0.15
RE1,AGRGSL001,2032,0.11
RE1,AGRGSL001,2033,0.08
RE1,AGRGSL001,2034,0.04
RE1,AGRGSL001,2035,0.0
RE1,AGRGSL001,2036,0.0
RE1,AGRGSL001,2037,0.0
RE1,AGRGSL001,2038,0.0
RE1,AGRGSL001,2039,0.0
RE1,AGRGSL001,2040,0.0
RE1,AGRGSL001,2041,0.0
RE1,AGRGSL001,2042,0.0
RE1,AGRGSL001,2043,0.0
RE1,AGRGSL001,2044,0.0
RE1,AGRGSL001,2045,0.0
RE1,AGRGSL001,2046,0.0
RE1,AGRGSL001,2047,0.0
RE1,AGRGSL001,2048,0.0
RE1,AGRGSL001,2049,0.0
RE1,AGRGSL001,2050,0.0
RE1,AGRGSL005,2019,0.0
RE1,AGRGSL005,2020,0.0
RE1,AGRGSL005,2021,0.0
RE1,AGRGSL005,2022,0.0
RE1,AGRGSL005,2023,0.0
RE1,AGRGSL005,2024,0.0
RE1,AGRGSL005,2025,0.0
RE1,AGRGSL005,2026,0.0
RE1,AGRGSL005,2027,0.0
RE1,AGRGSL005,2028,0.0
RE1,AGRGSL005,2029,0.0
RE1,AGRGSL005,2030,0.0
RE1,AGRGSL005,2031,0.0
RE1,AGRGSL005,2032,0.0
RE1,AGRGSL005,2033,0.0
RE1,AGRGSL005,2034,0.0
RE1,AGRGSL005,2035,0.0
RE1,AGRGSL005,2036,0.0
RE1,AGRGSL005,2037,0.0
RE1,AGRGSL005,2038,0.0
RE1,AGRGSL005,2039,0.0
RE1,AGRGSL005,2040,0.0
RE1,AGRGSL005,2041,0.0
RE1,AGRGSL005,2042,0.0
RE1,AGRGSL005,2043,0.0
RE1,AGRGSL005,2044,0.0
RE1,AGRGSL005,2045,0.0
RE1,AGRGSL005,2046,0.0
RE1,AGRGSL005,2047,0.0
RE1,AGRGSL005,2048,0.0
RE1,AGRGSL005,2049,0.0
RE1,AGRGSL005,2050,0.0
RE1,AGRHFO001,2019,0.91
RE1,AGRHFO001,2020,0.88
RE1,AGRHFO001,2021,0.86
RE1,AGRHFO001,2022,0.84
RE1,AGRHFO001,2023,0.81
RE1,AGRHFO001,2024,0.77
RE1,AGRHFO001,2025,0.72
RE1,AGRHFO001,2026,0.68
RE1,AGRHFO001,2027,0.63
RE1,AGRHFO001,2028,0.57
RE1,AGRHFO001,2029,0.51
RE1,AGRHFO001,2030,0.44
RE1,AGRHFO001,2031,0.36
RE1,AGRHFO001,2032,0.28
RE1,AGRHFO001,2033,0.19
RE1,AGRHFO001,2034,0.1
RE1,AGRHFO001,2035,0.0
RE1,AGRHFO001,2036,0.0
RE1,AGRHFO001,2037,0.0
RE1,AGRHFO001,2038,0.0
RE1,AGRHFO001,2039,0.0
RE1,AGRHFO001,2040,0.0
RE1,AGRHFO001,2041,0.0
RE1,AGRHFO001,2042,0.0
RE1,AGRHFO001,2043,0.0
RE1,AGRHFO001,2044,0.0
RE1,AGRHFO001,2045,0.0
RE1,AGRHFO001,2046,0.0
RE1,AGRHFO001,2047,0.0
RE1,AGRHFO001,2048,0.0
RE1,AGRHFO001,2049,0.0
RE1,AGRHFO001,2050,0.0
RE1,BACKSTOP,2019,0.0
RE1,BACKSTOP,2020,0.0
RE1,BACKSTOP,2021,0.0
RE1,BACKSTOP,2022,0.0
RE1,BACKSTOP,2023,0.0
RE1,BACKSTOP,2024,0.0
RE1,BACKSTOP,2025,0.0
RE1,BACKSTOP,2026,0.0
RE1,BACKSTOP,2027,0.0
RE1,BACKSTOP,2028,0.0
RE1,BACKSTOP,2029,0.0
RE1,BACKSTOP,2030,0.0
RE1,BACKSTOP,2031,0.0
RE1,BACKSTOP,2032,0.0
RE1,BACKSTOP,2033,0.0
RE1,BACKSTOP,2034,0.0
RE1,BACKSTOP,2035,0.0
RE1,BACKSTOP,2036,0.0
RE1,BACKSTOP,2037,0.0
RE1,BACKSTOP,2038,0.0
RE1,BACKSTOP,2039,0.0
RE1,BACKSTOP,2040,0.0
RE1,BACKSTOP,2041,0.0
RE1,BACKSTOP,2042,0.0
RE1,BACKSTOP,2043,0.0
RE1,BACKSTOP,2044,0.0
RE1,BACKSTOP,2045,0.0
RE1,BACKSTOP,2046,0.0
RE1,BACKSTOP,2047,0.0
RE1,BACKSTOP,2048,0.0
RE1,BACKSTOP,2049,0.0
RE1,BACKSTOP,2050,0.0
RE1,CCOELC001,2019,0.0
RE1,CCOELC001,2020,0.0
RE1,CCOELC001,2021,0.0
RE1,CCOELC001,2022,0.0
RE1,CCOELC001,2023,0.0
RE1,CCOELC001,2024,0.0
RE1,CCOELC001,2025,0.0
RE1,CCOELC001,2026,0.0
RE1,CCOELC001,2027,0.0
RE1,CCOELC001,2028,0.0
RE1,CCOELC001,2029,0.0
RE1,CCOELC001,2030,0.0
RE1,CCOELC001,2031,0.0
RE1,CCOELC001,2032,0.0
RE1,CCOELC001,2033,0.0
RE1,CCOELC001,2034,0.0
RE1,CCOELC001,2035,0.0
RE1,CCOELC001,2036,0.0
RE1,CCOELC001,2037,0.0
RE1,CCOELC001,2038,0.0
RE1,CCOELC001,2039,0.0
RE1,CCOELC001,2040,0.0
RE1,CCOELC001,2041,0.0
RE1,CCOELC001,2042,0.0
RE1,CCOELC001,2043,0.0
RE1,CCOELC001,2044,0.0
RE1,CCOELC001,2045,0.0
RE1,CCOELC001,2046,0.0
RE1,CCOELC001,2047,0.0
RE1,CCOELC001,2048,0.0
RE1,CCOELC001,2049,0.0
RE1,CCOELC001,2050,0.0
RE1,EXPELC,2019,0.0
RE1,EXPELC,2020,0.0
RE1,EXPELC,2021,0.0
RE1,EXPELC,2022,0.0
RE1,EXPELC,2023,0.0
RE1,EXPELC,2024,0.0
RE1,EXPELC,2025,0.0
RE1,EXPELC,2026,0.0
RE1,EXPELC,2027,0.0
RE1,EXPELC,2028,0.0
RE1,EXPELC,2029,0.0
RE1,EXPELC,2030,0.0
RE1,EXPELC,2031,0.0
RE1,EXPELC,2032,0.0
RE1,EXPELC,2033,0.0
RE1,EXPELC,2034,0.0
RE1,EXPELC,2035,0.0
RE1,EXPELC,2036,0.0
RE1,EXPELC,2037,0.0
RE1,EXPELC,2038,0.0
RE1,EXPELC,2039,0.0
RE1,EXPELC,2040,0.0
RE1,EXPELC,2041,0.0
RE1,EXPELC,2042,0.0
RE1,EXPELC,2043,0.0
RE1,EXPELC,2044,0.0
RE1,EXPELC,2045,0.0
RE1,EXPELC,2046,0.0
RE1,EXPELC,2047,0.0
RE1,EXPELC,2048,0.0
RE1,EXPELC,2049,0.0
RE1,EXPELC,2050,0.0
RE1,FTEAGRDSL,2019,0.0
RE1,FTEAGRDSL,2020,0.0
RE1,FTEAGRDSL,2021,0.0
RE1,FTEAGRDSL,2022,0.0
RE1,FTEAGRDSL,2023,0.0
RE1,FTEAGRDSL,2024,0.0
RE1,FTEAGRDSL,2025,0.0
RE1,FTEAGRDSL,2026,0.0
RE1,FTEAGRDSL,2027,0.0
RE1,FTEAGRDSL,2028,0.0
RE1,FTEAGRDSL,2029,0.0
RE1,FTEAGRDSL,2030,0.0
RE1,FTEAGRDSL,2031,0.0
RE1,FTEAGRDSL,2032,0.0
RE1,FTEAGRDSL,2033,0.0
RE1,FTEAGRDSL,2034,0.0
RE1,FTEAGRDSL,2035,0.0
RE1,FTEAGRDSL,2036,0.0
RE1,FTEAGRDSL,2037,0.0
RE1,FTEAGRDSL,2038,0.0
RE1,FTEAGRDSL,2039,0.0
RE1,FTEAGRDSL,2040,0.0
RE1,FTEAGRDSL,2041,0.0
RE1,FTEAGRDSL,2042,0.0
RE1,FTEAGRDSL,2043,0.0
RE1,FTEAGRDSL,2044,0.0
RE1,FTEAGRDSL,2045,0.0
RE1,FTEAGRDSL,2046,0.0
RE1,FTEAGRDSL,2047,0.0
RE1,FTEAGRDSL,2048,0.0
RE1,FTEAGRDSL,2049,0.0
RE1,FTEAGRDSL,2050,0.0
RE1,FTEAGRGSL,2019,0.0
RE1,FTEAGRGSL,2020,0.0
RE1,FTEAGRGSL,2021,0.0
RE1,FTEAGRGSL,2022,0.0
RE1,FTEAGRGSL,2023,0.0
RE1,FTEAGRGSL,2024,0.0
RE1,FTEAGRGSL,2025,0.0
RE1,FTEAGRGSL,2026,0.0
RE1,FTEAGRGSL,2027,0.0
RE1,FTEAGRGSL,2028,0.0
RE1,FTEAGRGSL,2029,0.0
RE1,FTEAGRGSL,2030,0.0
RE1,FTEAGRGSL,2031,0.0
RE1,FTEAGRGSL,2032,0.0
RE1,FTEAGRGSL,2033,0.0
RE1,FTEAGRGSL,2034,0.0
RE1,FTEAGRGSL,2035,0.0
RE1,FTEAGRGSL,2036,0.0
RE1,FTEAGRGSL,2037,0.0
RE1,FTEAGRGSL,2038,0.0
RE1,FTEAGRGSL,2039,0.0
RE1,FTEAGRGSL,2040,0.0
RE1,FTEAGRGSL,2041,0.0
RE1,FTEAGRGSL,2042,0.0
RE1,FTEAGRGSL,2043,0.0
RE1,FTEAGRGSL,2044,0.0
RE1,FTEAGRGSL,2045,0.0
RE1,FTEAGRGSL,2046,0.0
RE1,FTEAGRGSL,2047,0.0
