REGION,TECHNOLOGY,YEAR,VALUE
RE1,AGRDSL001,2019,19.0
RE1,AGRDSL001,2020,19.0
RE1,AGRDSL001,2021,19.0
RE1,AGRDSL001,2022,19.0
RE1,AGRDSL001,2023,19.0
RE1,AGRDSL001,2024,19.0
RE1,AGRDSL001,2025,19.0
RE1,AGRDSL001,2026,19.0
RE1,AGRDSL001,2027,19.0
RE1,AGRDSL001,2028,19.0
RE1,AGRDSL001,2029,19.0
RE1,AGRDSL001,2030,19.0
RE1,AGRDSL001,2031,19.0
RE1,AGRDSL001,2032,19.0
RE1,AGRDSL001,2033,19.0
RE1,AGRDSL001,2034,19.0
RE1,AGRDSL001,2035,19.0
RE1,AGRDSL001,2036,19.0
RE1,AGRDSL001,2037,19.0
RE1,AGRDSL001,2038,19.0
RE1,AGRDSL001,2039,19.0
RE1,AGRDSL001,2040,19.0
RE1,AGRDSL001,2041,19.0
RE1,AGRDSL001,2042,19.0
RE1,AGRDSL001,2043,19.0
RE1,AGRDSL001,2044,19.0
RE1,AGRDSL001,2045,19.0
RE1,AGRDSL001,2046,19.0
RE1,AGRDSL001,2047,19.0
RE1,AGRDSL001,2048,19.0
RE1,AGRDSL001,2049,19.0
RE1,AGRDSL001,2050,19.0
RE1,AGRDSL005,2019,24.0
RE1,AGRDSL005,2020,24.0
RE1,AGRDSL005,2021,24.0
RE1,AGRDSL005,2022,24.0
RE1,AGRDSL005,2023,24.0
RE1,AGRDSL005,2024,24.0
RE1,AGRDSL005,2025,24.0
RE1,AGRDSL005,2026,24.0
RE1,AGRDSL005,2027,24.0
RE1,AGRDSL005,2028,24.0
RE1,AGRDSL005,2029,24.0
RE1,AGRDSL005,2030,24.0
RE1,AGRDSL005,2031,24.0
RE1,AGRDSL005,2032,24.0
RE1,AGRDSL005,2033,24.0
RE1,AGRDSL005,2034,24.0
RE1,AGRDSL005,2035,24.0
RE1,AGRDSL005,2036,24.0
RE1,AGRDSL005,2037,24.0
RE1,AGRDSL005,2038,24.0
RE1,AGRDSL005,2039,24.0
RE1,AGRDSL005,2040,24.0
RE1,AGRDSL005,2041,24.0
RE1,AGRDSL005,2042,24.0
RE1,AGRDSL005,2043,24.0
RE1,AGRDSL005,2044,24.0
RE1,AGRDSL005,2045,24.0
RE1,AGRDSL005,2046,24.0
RE1,AGRDSL005,2047,24.0
RE1,AGRDSL005,2048,24.0
RE1,AGRDSL005,2049,24.0
RE1,AGRDSL005,2050,24.0
RE1,AGRGSL001,2019,19.0
RE1,AGRGSL001,2020,19.0
RE1,AGRGSL001,2021,19.0
RE1,AGRGSL001,2022,19.0
RE1,AGRGSL001,2023,19.0
RE1,AGRGSL001,2024,19.0
RE1,AGRGSL001,2025,19.0
RE1,AGRGSL001,2026,19.0
RE1,AGRGSL001,2027,19.0
RE1,AGRGSL001,2028,19.0
